Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Annapolis Mall                          2002 Annapolis Mall                Annapolis, Md 21401",1,19,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Arunde Mills Mall                7000 Arundel Mills Circle               Hanover, MD 21076",1,12,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Harford Mall                       696A Bel Air Road                 Bel Air, MD 21014",10,9,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Bowie Town Center                   15443 Emerald Way                Bowie, MD 20716",8,16,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Columbia Mall                         10300 Little Patuxent Parkway       Columbia, MD 21044",6,31,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Hagerstown Premium Outlets   495 Premium Outlel Blvd.            Hagerstown, MD 21740",12,12,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Marley Station Mall                  7900 Ritchie Highway                     Suite E205                                              Glen Burnie, MD 21061",1,10,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"National Harbor                        6800 Oxon Hill Road                National Harbor, MD 20745",8,16,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Centre at Salisbury                        2300 N. Salisbury Blvd.             Salisbury, MD 21801",5,10,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Downtown Silver Spring            937 Ellsworth Drive                Silver Spring, MD 20910",7,29,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Towson Town Center                  825 Dulaney Valley Road           Towson, MD 21204",2,23,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"St. Charles Town Center                  11110 Mall Circle                     Waldorf, MD 20603",9,17,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"TownMall of Westminster                    400 North Center Street               Westminster, MD 21157",6,6,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"Wheaton Mall                         11160 Veirs Mill Road Wheaton, MD 20902",7,17,3/29/2020,2
4/8/2020,448120,RTW Retailwinds                                                            d/b/a New York  & Company,"White Marsh Mall                                8200 Perry Hall Blvd.                              Baltimore, MD 21236",2,17,3/29/2020,2
4/9/2020,711110,Medieval Times,"7000 Arundel Mills Circle                 Hanover, MD 21076",1,146,4/12/2020,2
4/13/2020,713910,The Bethesda Country Club,"7601 Bradley Boulevard              Bethesda, MD 20817",7,128,3/26/2020,2
4/22/2020,532111,Enterprise Holdings,"1861 South Club Drive            Landover, MD 20785",8,65,4/30/2020,2
4/23/2020,337920,Next Day Blinds,"8251 Preston Court               Jessup, MD 20794",6,453,4/14/2020,2
4/23/2020,532111,Enterprise Holdings,"2273 Research Blvd.                Floor 6 & 7                              Rockville, MD 20850",7,92,4/30/2020,2
4/23/2020,446130,Visionworks,"169 Jennifer Road                         Suite D                              Annapolis, MD 21401",1,10,4/4/2020,2
4/23/2020,446130,Visionworks,"8153-C Honeygo Blvd.                Baltimore, MD 21236",2,13,4/4/2020,2
4/23/2020,446130,Visionworks,"15431 Emerald Way                 Bowie, MD 20716",8,7,4/4/2020,2
4/23/2020,446130,Visionworks,"15902 Crain Highway SE         Suite F                                 Brandywine, MD 20613",8,15,4/4/2020,2
4/23/2020,446130,Visionworks,"23415 Three Notch Road             Suite 1101                          California, MD 20619",9,8,4/4/2020,2
4/23/2020,446130,Visionworks,"6427 Baltimore Pike                 Suite A                                               Catonsville, MD 21228",2,5,4/4/2020,2
4/23/2020,446130,Visionworks,"10112 York Road                      Cockeysville, MD 21030",2,3,4/4/2020,2
4/23/2020,446130,Visionworks,"6250 Columbia Crossing Circle Suite K                               Columbia, MD 21045",6,12,4/4/2020,2
