Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,20200413,WR,04/14/2020,Other Elect Equip Repair,Waukesha,Waukesha-Ozaukee-Washington
Nordstrom Inc.,"Madison, Wauwatosa",218,20200414,WR,04/05/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,20200414,WR,03/27/2020,Civic &amp; Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,20200414,WR,03/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,20200415,WR,04/20/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,20200416,WR,04/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,20200417,WR,04/30/2020,Other Individual &amp; Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,20200417,WR,04/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,20200417,WR,04/02/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,20200417,WR,04/20/2020,Other Com &amp; Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,20200420,WR,04/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,20200420,WR,03/16/2020,Civic &amp; Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,20200421,WR,04/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,20200421,WR,05/01/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, Waukesha-Ozaukee-Washington, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,20200421,WR,05/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
Marquis Yachts,Pulaski,117,20200423,WR,06/26/2020,Boat Bldg,Brown,Bay Area
Van Galder Bus / Coach USA,Janesville,258,20200423,WR,03/14/2020,Interurban &amp; Rural Bus Trans,Rock,Southwest
Hi-Crush Services,Whitehall,35,20200423,WR,03/30/2020,Ind Sand Mining,Trempealeau,Western
Hi-Crush Services,Taylor,32,20200423,WR,03/30/2020,Ind Sand Mining,Trempealeau,Western
