Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,12/07/2015,12/16/2015,AAR AEROSTRUCTURES & INTERIORS,Huntsville,72
Layoff *,10/18/2015,12/18/2015,FAURECIA INTERIOR SYSTEMS - TUSCALOOSA PLANT,Tuscaloosa,138
Closing *,10/13/2015,10/07/2015,LISTERHILL TMC,Muscle Shoals,134
Layoff *,12/29/2015,02/27/2016,ABM HEALTHCARE SUPPORT SERVICES,,90
Closing *,01/29/2015,03/31/2015,NCO FINANCIAL SYSTEMS,Mobile,57
Closing *,07/24/2015,09/27/2015,SEARS HOLDINGS CORPORATION,Mobile,86
Closing *,02/02/2015,03/31/2015,"TRANSWORLD SYSTEMS, INC. (TSI)",Mobile,57
Closing *,12/14/2015,01/02/2016,O'NEAL STEEL MANUFACTURING SERVICES,Birmingham,180
Layoff *,12/09/2015,12/28/2015,REXAM,Birmingham,13
Closing *,12/07/2015,12/07/2015,GOLDEN LIVINGCENTER - TRUSSVILLE,Trussville,119
Layoff *,10/29/2015,10/28/2015,CLIFFS NATURAL RESOURCES INC. - OAK GROVE RESOURC,Hueytown,221
Layoff *,06/23/2015,10/01/2015,GREEN TREE SERVICING LLC,Birmingham,31
Layoff *,03/30/2015,04/29/2015,"CAHABA GOVERNMENT BENEFIT ADMINISTRATORS, LLC.",Birmingham,131
Layoff *,03/13/2015,05/15/2015,FLEX N GATE,McCalla,97
Layoff *,02/03/2015,04/03/2015,"FAIRFIELD SOUTHERN COMPANY, INC.",Fairfield,85
Layoff *,01/28/2015,03/29/2015,U. S. STEEL,Fairfield,1923
Layoff *,12/08/2014,12/16/2014,HEXPOL - ROBBINS LLC.,Muscle Shoals,61
Closing *,12/08/2014,12/10/2014,"JOHNSTON TEXTILES, INC.",Phenix City,140
Layoff *,11/04/2014,11/30/2014,KBR (CONTRACTOR AT BP CHEMICAL PLANT),Decatur,131
Closing *,10/14/2014,12/19/2014,ALERIS - NICHOLS ALUMINUM ALABAMA LLC,Decatur,100
Closing *,07/31/2014,10/01/2014,IZZY+,Florence,204
Layoff *,05/20/2014,05/16/2014,HEWLETT-PACKARD COMPANY,Montgomery,99
Closing *,05/14/2014,08/18/2014,THE HON COMPANY,Florence,188
Closing *,04/08/2014,06/06/2014,HILLSHIRE BRANDS,Florence,1100
Layoff *,04/02/2014,06/08/2014,"WAYNE FARMS, LLC",Dothan,560
Layoff *,03/17/2014,05/04/2014,"TYONEK SERVICES GROUP, INC.",Madison,161
Layoff *,03/05/2014,06/26/2014,"NAVISTAR DIESEL OF AL, LLC",Huntsville,220
Layoff *,04/17/2014,06/24/2014,BBVA COMPASS,Birmingham,90
Closing *,09/03/2014,10/31/2014,MACLEAN POWER SYSTEMS,Birmingham,75
Layoff *,08/13/2014,10/15/2014,LABCORP,Birmingham,57
Closing *,08/04/2014,09/30/2014,HARSCO METALS & MINERALS,Birmingham,51
Closing *,05/28/2014,08/01/2014,ATHENAHEALTH,Birmingham,63
Closing *,11/26/2013,01/24/2014,PILGRIM'S PRIDE,Boaz,1154
