Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,11/17/2003,01/30/2004,"MOHAWK INDUSTRIES, INC.",Talladega,125
Closing *,12/01/2003,11/21/2003,CLEANERS HANGER COMPANY (CHC),Gadsden,50
Closing *,11/25/2003,01/30/2004,ENCOMPASS GROUP (DOWLING MANUFACTURING),Clio,91
Closing *,11/24/2003,12/31/2003,ARCATA ASSOCIATES,Huntsville,66
Closing *,11/24/2003,12/15/2003,"JOHNSTON INDUSTRIES, INC.",Valley,191
Closing *,11/17/2003,01/16/2004,WESTPOINT STEVENS (LANIER PLANT),Valley,300
Layoff *,11/14/2003,01/31/2004,JVC,Tuscaloosa,120
Closing *,11/03/2003,03/30/2004,DIGITALNET GOVERNMENT SOLUTIONS,Huntsville,56
Layoff *,11/04/2003,12/31/2003,LOCKHEED MARTIN,Huntsville,118
Layoff *,11/03/2003,03/30/2004,COMPUTER SCIENCES CORPORATION,Huntsville,667
Closing *,09/30/2003,01/15/2004,"ONESOURCE FACILITY SERVICES, INC.",Tuskegee,144
Closing *,09/29/2003,11/27/2003,L3 COMMUNICATIONS,Fort Rucker,57
Closing *,05/27/2003,05/30/2003,"FLEMING COMPANIES, INC.",Geneva,159
Closing *,05/20/2003,05/20/2003,INTERNATIONAL PAPER,Moundville,172
Layoff *,05/22/2003,07/24/2003,"AVONDALE MILLS, INC., BEVILLE PLANT",Alexander City,174
Closing *,05/21/2003,07/21/2003,FISKARS' HOME LEISURE (AMERICAN DESIGNER POTTERY),Opelika,76
Closing *,05/12/2003,07/18/2003,"CORTEZ, INC.",Marshall Center,157
Closing *,04/29/2003,04/29/2003,UNITED STATES PIPE & FOUNDRY CO.,Anniston,80
Closing *,04/25/2003,06/24/2003,MEADOW GOLD DAIRIES,Huntsville,140
Closing *,04/10/2003,04/11/2003,"LEXINGTON FABRICS, INC.",Florence,242
Closing *,03/13/2003,05/16/2003,"AVONDALE MILLS, INC.",Bon Air,114
Closing *,02/26/2003,05/04/2003,WEYERHAEUSER PLYWOOD FACILITY,Millport,250
Closing *,01/31/2003,08/09/2004,WISE ALLOYS LLC,Sheffield,66
Closing *,01/27/2003,03/30/2003,"CHAROEN POKPHAND (USA), INC.",Bakerhill,15
Closing *,01/14/2003,03/21/2003,KMART CORPORATION STORE # 4833,Atmore,100
Closing *,01/14/2003,03/21/2003,KMART CORPORATION STORE #3132,Montgomery,150
Closing *,01/14/2003,03/21/2003,KMART - STORE #3671,Madison,64
Closing *,09/03/2003,10/29/2003,WEST CORPORATION,Mobile,395
Closing *,08/27/2003,09/21/2003,BE & K INDUSTRIAL SERVICES (DUPONT PLANT),Axis,85
Closing *,06/19/2003,08/22/2003,KELLOGG BROWN & ROOT,Mobile,140
Closing *,01/15/2003,06/05/2003,KERR-MCGEE CHEMICAL LLC,Theodore,139
Closing *,01/14/2003,03/21/2003,KMART CORPORATION # 7435,Mobile,25
Closing *,11/06/2002,12/31/2002,"UNR ROHN, INC.",Bessemer,115
Closing *,11/05/2002,12/30/2002,"CUMMINS ALABAMA, INC.",Birmingham,63
Closing *,09/12/2002,09/01/2002,CONSOLIDATED FREIGHTWAYS,Birmingham,104
Closing *,05/13/2002,05/09/2002,FIRST SOURCE FURNITURE GROUP,Leeds,134
Closing *,03/22/2002,05/15/2002,"SRM AGGREGATES, INC.",Birmingham,177
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 3356,Birmingham,80
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 3528,Birmingham,80
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 3930,Fairfield,90
Closing *,01/22/2002,03/24/2002,MACY'S EAST (GALLERIA MALL),Hoover,192
Layoff *,07/03/2002,08/31/2002,TEE JAYS,Florence,207
Layoff *,06/04/2002,07/15/2002,CASH VALVE,Cullman,50
Closing *,05/23/2002,08/02/2002,NESTLE PURINA PETCARE COMPANY,Decatur,125
Layoff *,05/08/2002,05/10/2002,AMERICAN CANDY COMPANY,Selma,330
Closing *,04/25/2002,04/25/2002,INVITROGEN CORPORATION,Huntsville,250
Closing *,04/18/2002,06/12/2002,GENESYS CONFERENCING,Montgomery,85
Closing *,04/15/2002,09/01/2002,"CLARK ALABAMA, INC.",Pell City,52
Layoff *,04/05/2002,08/01/2002,WIEGAND APPLIANCE DIVISION,Vernon,219
Closing *,03/22/2002,05/31/2002,BELLSOUTH,Decatur,55
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 3849,Huntsville,70
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 7336,Pelham,70
Closing *,03/11/2002,05/07/2002,KMART CORPORATION-STORE 4836,Ozark,80
Closing *,03/01/2002,04/30/2002,GETRONICS,Huntsville,62
Layoff *,02/28/2002,03/31/2002,PILLOWTEX CORPORATION,Phenix City,818
Closing *,02/28/2002,09/28/2003,"FAYETTE COTTON MILL, INC.",Fayette,286
Closing *,02/19/2002,04/19/2002,WEHADKEE YARN MILLS-CHINNABEE PLANT,Talladega,90
Closing *,01/30/2002,03/31/2002,OWENS CORNING,Athens,63
Closing *,01/11/2002,03/04/2002,TYCO ELECTRONICS,Arab,256
Closing *,01/14/2002,03/21/2003,"KMART CORPORATION, STORE # 3054",Montgomery,150
Closing *,12/30/2002,02/28/2003,SARA LEE BAKING GROUP,Huntsville,72
Closing *,12/18/2002,12/18/2002,OPP & MICOLAS MILLS (JOHNSTON INDUSTRIES),Opp,647
Layoff *,11/05/2002,01/02/2003,BE & K CONSTRUCTION COMPANY,Decatur,108
Closing *,10/21/2002,12/16/2002,"ARDCO HOLDINGS, INC.",Scottsboro,140
Closing *,10/15/2002,10/28/2002,SANMINA-SCI CORPORATION (PLANT 5),Huntsville,124
Layoff *,09/26/2002,12/02/2002,BOISE PAPER SOLUTIONS,Jackson,78
Layoff *,09/04/2002,10/31/2002,"SUMMA TECHNOLOGY, INC.",Cullman,66
Layoff *,08/30/2002,10/28/2002,SIEMENS WESTINGHOUSE,Fort Payne,200
Layoff *,08/26/2002,10/21/2002,CROWNTUFT,Heflin,147
Closing *,08/22/2002,10/18/2002,"SCHOOL SPECIALTY, INC.",Lineville,58
Layoff *,08/07/2002,10/06/2002,TRILLIUM TUSCALOOSA,Tuscaloosa,133
Closing *,08/02/2002,09/30/2002,"ANSELL HEALTHCARE PRODUCTS, INC.",Troy,125
Closing *,07/31/2002,09/30/2002,FIRST CORRECTIONS CORPORATION,Clayton,87
Closing *,07/31/2002,10/04/2002,"LIZ CLAIRBORNE, INC.",Montgomery,341
Closing *,07/30/2002,11/19/2002,HUNTLEIGH USA CORPORATION,Huntsville,27
Closing *,07/01/2002,09/30/2002,"BELLSOUTH CALL CENTER, MONTGOMERY",Montgomery,85
Closing *,12/02/2002,02/01/2003,"DILLARD'S INC., MOBILE",Mobile,152
Closing *,10/03/2002,11/01/2002,"MUNDY MAINTENANCE AND SERVICES, LLC",Theodore,90
Closing *,05/07/2002,08/31/2002,DEGUSSA CORP./BASF,Theodore,94
Closing *,02/02/2002,04/22/2002,MOBILE PULLEY AND MACHINE WORKS,Mobile,134
Closing *,01/09/2002,12/20/2002,OCAL INC.,Mobile,221
Closing *,11/14/2001,01/15/2002,"THOMAS FOUNDRY (SVEDALA INDUSTRIES, INC.)",Birmingham,86
Layoff *,10/02/2001,12/01/2001,"BUTLER MANUFACTURING COMPANY, INC.",Birmingham,99
Closing *,08/13/2001,10/27/2001,CLASSROOM DIRECT,Birmingham,71
Closing *,07/26/2001,09/25/2001,SECURITYLINK,Birmingham,91
Closing *,07/03/2001,08/31/2001,CINGULAR WIRELESS,Birmingham,208
Layoff *,07/02/2001,09/17/2001,"COOK PUBLICATIONS, INC.",Birmingham,56
Closing *,05/07/2001,07/01/2001,SIRCO SYSTEMS,Birmingham,46
Closing *,03/26/2001,05/18/2001,"MEDIA SERVICES, INC.",Birmingham,224
Closing *,02/28/2001,04/28/2001,PLIANT CORPORATION,Birmingham,94
Layoff *,02/26/2001,04/16/2001,MICHEL COMPANY,Birmingham,1
Layoff *,02/27/2001,04/20/2001,"SONICS ASSOCIATES, INC.",Birmingham,75
Closing *,02/23/2001,02/23/2001,CONNECTSOUTH,Birmingham,9
Closing *,12/28/2001,03/01/2002,GOODRICH AEROSTRUCTURES GROUP,Foley,350
Closing *,12/14/2001,02/12/2002,CAM,Chatom,91
Closing *,12/05/2001,02/04/2002,NOKIA BROADBAND ACCESS,Huntsville,71
Closing *,10/31/2001,03/08/2002,AMERICOLD COMPRESSORS,Cullman,476
Closing *,11/27/2001,01/03/2002,BE&K CONSTRUCTION COMPANY,Decatur,110
Closing *,11/19/2001,01/21/2002,"THE HUDSON COMPANIES, INC.",Troy,150
Closing *,11/14/2001,11/26/2001,RUSSELL CORPORATION,Alexander City,275
Closing *,11/16/2001,01/14/2002,"VANITY FAIR INTIMATES, ATMORE",Atmore,509
Closing *,02/26/2001,04/15/2001,"WABASH ALLOYS, LLC",Russellville,60
Layoff *,02/16/2001,04/18/2002,TRIMS UNLIMITED,Greenville,64
Closing *,02/16/2001,04/16/2001,OPELIKA FOUNDRY COMPANY,Opelika,71
Closing *,02/12/2001,04/13/2001,"TRINITY INDUSTRIES, INC.",Montgomery,225
Closing *,01/13/2001,04/13/2001,GOLDEN ROD BROILERS,Greensboro,179
Closing *,02/12/2001,04/13/2001,INTERNATIONAL WIRE,Elkmont,33
Closing *,02/12/2001,04/13/2001,INTERNATIONAL WIRE,Ardmore,29
Layoff *,02/01/2001,02/05/2001,CONAGRA POULTRY COMPANY,Enterprise,100
Closing *,01/29/2001,03/27/2001,"A-1 MANUFACTURING CO., INC.",Brilliant,77
Closing *,01/23/2001,03/23/2001,"MI-TECH STEEL, INC.",Decatur,65
Closing *,01/18/2001,04/30/2001,THERMO KING,Montgomery,200
Closing *,01/22/2001,03/09/2001,"CULP, INC.",Wetumpka,122
Layoff *,01/18/2001,03/19/2001,PILLIOD FURNITURE INC.,Selma,165
Closing *,01/17/2001,03/17/2001,PACIFICORP SYN FUEL LLC,Quinton,64
Closing *,11/14/2001,01/13/2002,"VF JEANSWEAR, RED BAY",Red Bay,273
Closing *,11/14/2001,01/13/2002,"VF JEANSWEAR, RUSSELLVILLE",Russellville,574
Closing *,11/14/2001,01/13/2002,"VF JEANSWEAR, ONEONTA",Oneonta,681
Closing *,11/14/2001,01/13/2002,"VF JEASWEAR, FLORENCE",Florence,434
Closing *,11/14/2001,01/13/2002,"VF JEANSWEAR, HANCEVILLE",Hanceville,217
Layoff *,11/07/2001,01/06/2002,THE PHILLIPS-VAN HEUSEN CORP.,Ozark,102
Closing *,11/06/2001,01/01/2002,AMERICAN FINE WIRE,Selma,53
Layoff *,11/02/2001,01/01/2002,BOWATER-COOSA PINES OPERATIONS,Coosa Pines,314
Layoff *,10/29/2001,12/28/2001,ACORDIS INDUSTRIAL FIBERS,Scottsboro,263
Closing *,10/24/2001,12/23/2001,"INTERMET-ALEX CITY CASTING COMPANY, INC.",Alexander City,117
Closing *,10/02/2001,11/30/2001,"PROMOWERKS, INC.",Phenix City,15
Closing *,10/04/2001,11/15/2001,"DANA CORPORATION, RIDE & CONTROL SYSTEMS",Anniston,24
Layoff *,10/01/2001,10/26/2001,RUSSELL CORP. (TEXTILE/ATHLETIC'S OPERATIONS),Alexander City,150
Closing *,08/20/2001,10/19/2001,ARVINMERITOR INC.,Fayette,371
Closing *,08/09/2001,04/14/2001,"TNS MILLS, INC.",Eufaula,132
Closing *,08/06/2001,07/06/2001,SCOTTSBORO ALUMINUM,Scottsboro,450
Closing *,08/03/2001,08/10/2001,"HY-TOP SPORTSWEAR, INC.",Geraldine,70
Layoff *,08/02/2001,09/30/2001,"NEW TECHNOLOGY, INC.",Huntsville,114
Layoff *,07/19/2001,09/15/2001,HILTON CORPORATE CASUALS,Thomasville,131
Layoff *,07/16/2001,09/14/2001,TEE JAYS,Florence,660
Closing *,07/06/2001,06/18/2001,"A.J. GERRARD COMPANY, INC.",Florence,95
Closing *,07/09/2001,09/07/2001,HEALTHTEX,Centreville,296
Closing *,06/29/2001,07/09/2001,PILLOWTEX CORPORATION,Phenix City,56
Closing *,06/29/2001,07/31/2001,AMERICAN NONWOVEN CORPORATION,Talladega,40
Closing *,06/26/2001,06/26/2001,EVENFLO,Jasper,88
Closing *,06/08/2001,06/30/2001,RUSSELL CORPORATION-HI-TECH SEWING PLANT,Alexander City,169
Closing *,06/08/2001,07/15/2001,RUSSELL CORPORATION-COOSA RING SPINNING PLANT,Alexander City,145
Closing *,06/08/2001,06/30/2001,RUSSELL CORPORATION-JERZEES SEWING PLANT,Lafayette,220
Closing *,06/08/2001,06/30/2001,RUSSELL CORPORATION-TEXTILE PLANT,Sylacauga,265
Closing *,05/24/2001,06/08/2001,LOUISIANA PACIFIC CORPORATION,Evergreen,67
Layoff *,05/29/2001,07/23/2001,"SILICON GRAPHICS, INC. (SGI)",Huntsville,38
Closing *,05/24/2001,07/20/2001,HEILIG-MEYERS FURNITURE,Russellville,76
Closing *,05/10/2001,07/01/2001,GREIF BROTHERS CORPORATION,Cullman,67
Closing *,05/03/2001,05/02/2001,M. FINE & SON,Killen,35
Closing *,04/20/2001,08/31/2001,INTERNATIONAL WIRE,Elkmont,63
Closing *,03/27/2001,03/22/2001,"TRICO STEEL COMPANY, LLC",Decatur,260
Layoff *,03/26/2001,06/15/2001,GULF STATES PAPER CORPORATION,Maplesville,231
Closing *,03/26/2001,03/16/2001,"DEFENDER SERVICES, INC. (FAYETTE MFG CO)",Fayette,168
Layoff *,03/14/2001,10/09/2001,"ABC-NACO, INC.",Calera,300
Closing *,03/14/2001,05/09/2001,GOLDEN RULE PRINTING,Huntsville,60
Closing *,03/15/2001,03/30/2001,"UNION YARN MILLS, INC.",Jacksonville,200
Closing *,03/05/2001,03/26/2001,DOUBLE SPRINGS CORPORATION,Double Springs,93
Closing *,03/01/2001,04/30/2001,"SCI SYSTEMS, INC.",Arab,337
Layoff *,05/29/2001,06/15/2001,INTERNATIONAL PAPER-MOBILE PACKAGING FACILITY,Mobile,137
Closing *,05/07/2001,05/15/2001,SAPPI LTD.,Mobile,500
Closing *,04/16/2001,04/11/2001,"ACTEL COMMUNICATIONS, INC.",Mobile,175
Closing *,04/03/2001,06/04/2001,"ACORDIS CELLULOSIC FIBERS, INC.",Axis,324
Closing *,07/11/2001,09/15/2001,CINGULAR WIRELESS,Mobile,89
Closing *,12/18/2000,12/18/2000,FAIRPOINT COMMUNICATIONS SOLUTIONS CORP.,Birmingham,60
Closing *,08/03/2000,10/05/2000,KMART CORPORATION,Bessemer,104
Closing *,08/02/2000,10/01/2000,"GUZZLER MANUFACTURING, INC.",Birmingham,115
Closing *,07/05/2000,09/01/2000,UNIPRISE,Birmingham,154
Layoff *,05/12/2000,07/17/2000,GRIFFIN WHEEL COMPANY,Bessemer,117
Closing *,04/27/2000,05/19/2000,COMDATA,Birmingham,120
Closing *,03/27/2000,05/15/2000,DANKA OFFICE IMAGING COMPANY,Birmingham,52
Closing *,03/13/2000,06/07/2000,KMART CORPORATION,Birmingham,89
Closing *,02/28/2000,03/25/2000,U.S. AIRWAYS,Birmingham,39
Closing *,02/28/2000,10/15/1999,TENET PHYSICIAN SERVICES,Birmingham,76
Closing *,12/04/2000,02/05/2001,PACKARD-HUGHES INTERCONNECT,Robertsdale,475
Closing *,11/30/2000,12/01/2000,DORSEY TRAILERS,Elba,650
Closing *,12/05/2000,11/29/2000,LOUISIANA- PACIFIC CORPORATION,Clayton,225
Closing *,11/27/2000,12/15/2000,AMETEK PRESTOLITE MOTORS USA,Decatur,250
Layoff *,11/22/2000,01/20/2001,"JOHNSTON INDUSTRIES, INC.",Phenix City,175
Closing *,11/09/2000,11/09/2000,"ALICEVILLE COTTON MILL, INC.",Aliceville,170
Layoff *,11/07/2000,01/06/2001,TALLADEGA COLLEGE,Talladega,51
Closing *,10/30/2000,12/31/2000,"LIBERTY TROUSER, INC",Boaz,85
Closing *,10/20/2000,12/22/2000,"WAVERLEE HOMES, INC.",Tuscumbia,140
Layoff *,10/23/2000,12/31/2000,"INTERNATIONAL PAPER, INC.",Courtland,400
Layoff *,10/17/2000,12/14/2000,CMI INDUSTRIES INC.,Geneva,420
Closing *,10/11/2000,12/02/2000,BEAULIEU-COLUMBUS MILLS,Phenix City,122
Closing *,10/10/2000,10/09/2000,RUSSELL YARNS,Alexander City,90
Closing *,10/17/2000,12/03/2000,"CRAFTWOOD DESIGN, INC.",Haleyville,80
Closing *,10/05/2000,10/06/2000,"WINFIELD COTTON MILL, INC.",Winfield,215
Layoff *,09/18/2000,10/13/2000,CITATION MARION,Marion,110
Layoff *,08/23/2000,10/31/2000,DANA CORPORATION-SPICER TRAILER PRODUCTS DIV.,Montgomery,60
Layoff *,08/16/2000,10/15/2000,"ANSELL HEALTHCARE PRODUCTS, INC.",Dothan,128
Closing *,08/07/2000,10/05/2000,"KMART CORPORATION, BREWTON",Brewton,85
Closing *,08/07/2000,08/08/2000,"GULF STATES STEEL, INC.",Gadsden,1690
Closing *,07/26/2000,09/05/2000,"RUST CONSTRUCTORS, INC.",Decatur,65
Closing *,07/18/2000,09/30/2000,MCQUAY INTERNATIONAL,Scottsboro,336
Closing *,05/10/2000,09/25/2000,ARROW SHIRT,Albertville,295
Closing *,06/28/2000,09/08/2000,"HAGER HINGE, INC.",Oxford,75
Closing *,06/01/2000,07/31/2000,"BUCCANEER HOMES, INC.",Winfield,96
Closing *,05/18/2000,05/18/2000,REDMAN HOMES,Eastaboga,226
Layoff *,05/10/2000,02/10/2000,FONTAINE TRAILER COMPANY,Haleyville,81
Closing *,05/02/2000,04/30/2000,"NC INDUSTRIES, INC.",Arley,134
Closing *,05/01/2000,06/30/2000,BEAULIEU OF AMERICA,Union Springs,91
Closing *,05/01/2000,06/30/2000,"LAIDLAW TRANSIT, INC.",Tuscaloosa,57
Closing *,04/12/2000,04/12/2000,SHOREWOOD PACKAGING CORPORATION,Andalusia,93
Closing *,04/12/2000,06/30/2000,BOSS MANUFACTURING COMPANY,Greenville,91
Closing *,03/31/2000,05/31/2000,"AMOTEX, INC.",Centre,55
Closing *,03/16/2000,03/15/2000,AMERICAN HOMESTAR CORPORATION,Brilliant,193
Closing *,03/23/2000,04/03/2000,TELEDYNE TUNGSTEN PRODUCTS,Huntsville,77
Closing *,03/10/2000,05/15/2000,VANITY FAIR INTIMATES,Jackson,543
Closing *,03/06/2000,03/17/2000,"RUSSELL CORPORATION, ASHLAND",Ashland,210
Closing *,03/06/2000,05/08/2000,BERRYDIRECT,Birmingham,85
Closing *,03/06/2000,04/28/2000,COATS NORTH AMERICA,Anniston,214
Layoff *,02/22/2000,04/21/2000,KLEINERT'S INC. OF ALABAMA,Elba,100
Closing *,02/04/2000,03/03/2000,"RUSSELL CORPORATION, GENEVA",Geneva,207
Closing *,02/04/2000,04/03/2000,"GLENN ENTERPRISES, INC.",Sulligent,163
Closing *,01/10/2000,03/06/2000,"CENTURY CARTONS, INC.",Livingston,80
Closing *,12/14/2000,02/12/2001,"SOUTHERN ENERGY RESOURCES, INC.",Mobile,66
Closing *,10/30/2000,12/31/2000,SPECIALTY MINERALS,Chickasaw,5
Closing *,10/18/2000,12/31/2000,INTERNATIONAL PAPER COMPANY,Mobile,790
Closing *,06/01/2000,09/30/2000,"BARBER DAIRIES, INC.",Mobile,70
Closing *,02/11/2000,05/10/2000,"RUBY TUESDAY, INC.",Mobile,160
Closing *,01/28/2000,01/28/2000,CHARTER HOSPITAL OF MOBILE,Mobile,112
Closing *,10/12/1999,10/22/1999,JUST FOR FEET,Birmingham,594
Layoff *,09/27/1999,11/23/1999,DRUMMOND COMPANY-SHOAL CREEK,Adger,350
Closing *,09/09/1999,09/09/1999,HOME QUARTERS,Birmingham,84
Closing *,09/09/1999,09/09/1999,HOME QUARTERS,Hoover,68
Layoff *,08/03/1999,09/28/1999,MEDPARTNERS,Birmingham,200
Closing *,06/14/1999,07/01/1999,INTER-NATIONAL CHILDRENSWEAR,Birmingham,50
Layoff *,08/20/1999,11/01/1999,"SONY MAGNETIC PRODUCTS, INC.",Dothan,250
Closing *,08/10/1999,10/01/1999,COMMUNICATIONS TECHNOLOGY CORPORATION,Madison,65
Closing *,08/02/1999,10/01/1999,"CLUETT, PEABODY & CO., INC.",Enterprise,273
Closing *,07/23/1999,09/30/1999,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",Redstone Arsenal,396
Closing *,07/01/1999,08/30/1999,"TREAT ENTERTAINMENT, INC.",Florence,76
Closing *,05/26/1999,09/01/1999,"LONDON INTERNATIONAL GROUP, LLC",Dothan,500
Closing *,06/16/1999,08/16/1999,SHAPE GLOBAL TECHNOLOGY INC.,Dadeville,113
Layoff *,06/04/1999,07/01/1999,SCHNEIDER NATIONAL CARRIERS,Evergreen,91
Closing *,06/04/1999,07/01/1999,"INTER-NATIONAL CHILDRENSWEAR, LLC",Snead,50
Closing *,06/04/1999,06/08/1999,"PRAEGITZER INDUSTRIES, INC.",Madison,195
Closing *,05/28/1999,07/25/1999,FLORENCE HOSPITAL,Florence,205
Layoff *,05/27/1999,05/28/1999,"S & C BEEF PROCESSORS, L.L.C.",Montgomery,650
Layoff *,05/17/1999,07/31/1999,"WEX TEX INDUSTRIES, INC.",Ashford,90
Closing *,05/03/1999,06/30/1999,RUSSELL CORPORATION-GREENVILLE,Greenville,252
Closing *,04/03/1999,06/30/1999,BAPTIST MEDICAL CENTER-DOWNTOWN,Montgomery,12
Closing *,04/22/1999,07/01/1999,ALL LOCK COMPANY INC.,Selma,315
Closing *,12/12/1999,02/10/1999,MARTIN INDUSTRIES,Huntsville,121
Closing *,11/29/1999,11/29/1999,CINTAS CORPORATION,Stevenson,91
Closing *,11/22/1999,01/26/2000,KMART CORPORATION,Bay Minette,33
Closing *,11/01/1999,11/24/1999,"RUSSELL CORP., COLUMBIA",Columbia,235
Closing *,09/29/1999,11/23/1999,DRUMMOND COMPANY-CEDRUM MINE,Townley,165
Closing *,09/09/1999,09/10/1999,RUSSELL CORP.  WETUMPKA AUTO SEW,Wetumpka,117
Layoff *,09/09/1999,09/10/1999,RUSSELL CORP. BRUNDIDGE,Brundidge,297
Closing *,09/09/1999,09/09/1999,HOME QUARTERS,Montgomery,79
Closing *,09/09/1999,09/09/1999,BUILDERS SQUARE,Huntsville,68
Closing *,03/31/1999,06/30/1999,"JOHNSON CONTROLS, INC.",Fort McClellan,112
Closing *,03/22/1999,05/21/1999,REFORM MANUFACTURING COMPANY,Reform,269
Closing *,03/16/1999,06/01/1999,"MEDLINE INDUSTRIES, INC.",Pell City,75
Closing *,03/09/1999,05/07/1999,SALANT CORPORATION,Andalusia,188
Closing *,03/18/1999,05/07/1999,"TRAIL KING INDUSTRIES, INC.",Green Pond,54
Closing *,03/16/1999,04/30/1999,"ONEITA INDUSTRIES, INC.",Cullman,311
Closing *,03/16/1999,03/19/1999,"ONEITA INDUSTRIES, INC.",Fayette,355
Layoff *,03/03/1999,05/03/1999,NIEMAND INDUSTRIES,Marion,81
Layoff *,03/02/1999,04/30/1999,"DILLARD'S, INC.",Montgomery,47
Layoff *,02/04/1999,02/11/1999,FRISCO MANUFACTURING COMPANY,Frisco City,67
Closing *,02/01/1999,04/14/1999,KMART,Selma,71
Closing *,01/22/1999,02/15/1999,RUSSELL CORP.-WETUMPKA,Wetumpka,90
Closing *,01/25/1999,04/30/1999,COLUMBUS MILLS,Phenix City,175
Closing *,01/22/1999,03/21/1999,MONTGOMERY WARD & CO.,Dothan,59
Closing *,01/05/1999,03/12/1999,"BARBER DAIRIES, INC.",Montgomery,76
Closing *,11/01/1999,12/30/1999,"DILLARD'S, INC., DISTRIBUTION CENTER",Mobile,137
Layoff *,08/30/1999,10/01/1999,"INTERNATIONAL PAPER CO., BAG PLANT",Mobile,151
Layoff *,04/07/1999,07/17/1999,KIMBERLY-CLARK,Mobile,500
Closing *,01/28/1999,03/31/1999,TENCEL-ACORDIS FIBERS,Axis,96
Closing *,01/22/1999,03/21/1999,MONTGOMERY WARD & CO.,Mobile,81
Closing *,10/05/1998,12/01/1998,DRUMMOND COMPANY,Graysville,88
Closing *,12/09/1998,02/05/1999,PILLOWTEX CORPORATION,Opelika,473
Closing *,11/19/1998,11/22/1998,"RUST CONSTRUCTORS, INC.",Decatur,282
Closing *,11/10/1998,08/31/1998,"AMERICAN APPAREL, INC.",Brantley,91
Closing *,10/30/1998,10/28/1998,"IMAGEWARE TECHNOLOGIES, L.L.C.",Opelika,116
Closing *,11/03/1998,12/31/1998,AUBURN SPORTSWEAR,Tallassee,82
Closing *,11/02/1998,03/31/1999,REYNOLDS METALS COMPANY,Muscle Shoals,1600
Closing *,10/30/1998,12/31/1998,DOTHAN INDUSTRIES,Dothan,89
Closing *,10/29/1998,12/20/1998,WALLS INDUSTRIES-LIBERTY TROUSERS,Ashville,69
Layoff *,10/06/1998,10/30/1998,RUSSELL CORP.(SYLACAUGA),Sylacauga,300
Closing *,09/25/1998,10/09/1998,ARCON HEALTH CARE,Heflin,39
Closing *,09/25/1998,12/11/1998,LUVERNE SLACKS COMPANY,Luverne,156
Closing *,09/15/1998,12/14/1998,THE GATES RUBBER COMPANY,Dothan,100
Closing *,08/25/1998,11/10/1998,RHEEM MANUFACTURING COMPANY,Greenville,295
Closing *,08/20/1998,10/18/1998,EARTHGRAINS BAKING,Montgomery,104
Closing *,08/14/1998,10/13/1998,"GAYFERS, MONTGOMERY DISTRIBUTION CENTER",Montgomery,100
Closing *,08/13/1998,08/12/1998,RUSSELL CORPORATION-SLOCOMB,Slocomb,200
Closing *,07/28/1998,10/01/1998,"CHOCTAW MANUFACTURING COMPANY, INC.",Silas,120
Closing *,07/28/1998,07/10/1998,"BUILDERS TRANSPORT, INC.",Cuba,149
Layoff *,07/22/1998,10/01/1998,DYNCORP.,Fort Rucker,1855
Layoff *,07/14/1998,09/18/1998,LIBERTY TROUSERS-WALLS INC.,Anniston,78
Layoff *,12/08/1998,02/01/1998,INTERNATIONAL PAPER,Mobile,450
Closing *,08/14/1998,10/13/1998,"GAYFERS, SOUTH GROUP OFFICE",Mobile,250
ClosingOrLayoff,01/01/1970,01/01/1970,Company,City,Total number
