Date,Company,Jobs Affected,City,Location
2/29/2020,Headliner Studio,Closure,2,Kearney,Kearney
2/28/2020,Diamond Vogel Corporation,Closure,2,Elkhorn,Elkhorn
2/28/2020,Diamond Vogel Corporation,Closure,2,Fremont,Fremont
2/28/2020,Diamond Vogel Corporation,Closure,2,Norfolk,Norfolk
2/28/2020,Diamond Vogel Corporation,Closure,5,Grand Island,Grand Island
2/28/2020,Diamond Vogel Corporation,Closure,3,Kearney,Kearney
2/25/2020,Gordman's,Closure,30,Omaha,Omaha
2/20/2020,Super 8 Motel,Layoff,7,Alma,Alma
2/19/2020,Dick's Western Store,Closure,,Tekamaha,Tekamaha
2/15/2020,YMCA,Closure,1,Grand Island,Express YMCA
2/15/2020,YMCA,Layoff,,Grand Island,Express YMCA
2/14/2020,Little Miracles Childcare,Closure,7,Doniphan,Child Care
2/14/2020,Midwest Medical Transport,Closure,,Hastings,Hastings
2/14/2020,Ericson State Bank,Closure,0,Ericson,Ericson
2/9/2020,Station 9 Cafe,Closure,,Kearney,Kearney
2/1/2020,Big O Tires,Closure,,Grand Island,1919 South Locust - Grand Island
1/31/2020,Spectrum Salon Systems Inc,Closure,2,Hastings,Hastings
1/31/2020,Ahmad's Persian Cuisine,Closure,2,Omaha,Omaha
1/31/2020,The Afternoon,Closure,18,Omaha,Omaha
1/31/2020,Security First Bank,Closure,,Lincoln,Lincoln - Van Dorn
1/31/2020,IGA Market Place,Closure,30,Lincoln,Lincoln - Air Park
1/29/2020,Village Inn Corporation,Closure,,Omaha,Omaha - 4416 Dodge Street
1/26/2020,The Cellar Bar & Grill / Weis Co,Closure,0,Kearney,The Cellar Bar & Grill
1/10/2020,McCann Medical Clinic,Closure,2,Grand Island,Clinic
1/6/2020,First National Bank,Closure,,Kearney,Kearney Branch Bank
1/1/2020,Madhouse Experience,Closure,,Lincoln,Lincoln
1/1/2020,Kearney Cinema,Closure,0,Kearney,Hilltop 4 Theater
12/31/2019,Wright's Jewelers,Closure,5,Lincoln,Lincoln
12/31/2019,Leonard and His House of Unfinished Furniture,Closure,1,Lincoln,Lincoln
12/31/2019,Lazzari's Pizza,Closure,,Lincoln,Lincoln
12/31/2019,Le Cupcake,Closure,5,Lincoln,Lincoln
12/31/2019,Goodwill Outlet,Layoff,1,Grand Island,Grand Island
12/31/2019,Tornado Crepes,Closure,,Lincoln,Lincoln
12/31/2019,Jack Link's Jerky,Closure,62,Bellevue,Bellevue
12/31/2019,Land O Lakes Inc,Closure,3,McCook,McCook
